instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_p,registerd_p,Cluster
9689,2012-02-13,Spring,2012,February,15,No Holiday,Monday,Working Day,Few Clouds,0.36,0.3485,0.27,0.1343,10,145,155,6.451612903225806,93.54838709677419,All-Day Rider
9690,2012-02-13,Spring,2012,February,16,No Holiday,Monday,Working Day,Few Clouds,0.36,0.3485,0.23,0.194,5,206,211,2.3696682464454977,97.6303317535545,All-Day Rider
9691,2012-02-13,Spring,2012,February,17,No Holiday,Monday,Working Day,Few Clouds,0.36,0.3485,0.23,0.194,8,399,407,1.9656019656019657,98.03439803439802,Commuter
9692,2012-02-13,Spring,2012,February,18,No Holiday,Monday,Working Day,Few Clouds,0.34,0.3182,0.25,0.2537,6,399,405,1.4814814814814816,98.51851851851852,Commuter
9693,2012-02-13,Spring,2012,February,19,No Holiday,Monday,Working Day,Few Clouds,0.34,0.3333,0.25,0.1343,7,256,263,2.6615969581749046,97.33840304182509,Commuter
9694,2012-02-13,Spring,2012,February,20,No Holiday,Monday,Working Day,Few Clouds,0.3,0.303,0.42,0.1642,4,210,214,1.8691588785046727,98.13084112149532,Evening Rider
9695,2012-02-13,Spring,2012,February,21,No Holiday,Monday,Working Day,Few Clouds,0.28,0.2879,0.45,0.1343,2,145,147,1.3605442176870748,98.63945578231292,Evening Rider
9696,2012-02-13,Spring,2012,February,22,No Holiday,Monday,Working Day,Few Clouds,0.26,0.2727,0.56,0.1045,3,99,102,2.941176470588235,97.05882352941177,Evening Rider
9697,2012-02-13,Spring,2012,February,23,No Holiday,Monday,Working Day,Few Clouds,0.28,0.3182,0.41,0.0,2,34,36,5.555555555555555,94.44444444444444,Night Owl
9698,2012-02-14,Spring,2012,February,0,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.303,0.6,0.0,0,14,14,0.0,100.0,Night Owl
9699,2012-02-14,Spring,2012,February,1,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.303,0.56,0.0,0,6,6,0.0,100.0,Night Owl
9700,2012-02-14,Spring,2012,February,2,No Holiday,Tuesday,Working Day,Cloudy,0.28,0.3182,0.41,0.0,0,3,3,0.0,100.0,Night Owl
9701,2012-02-14,Spring,2012,February,3,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.303,0.52,0.0,0,3,3,0.0,100.0,Night Owl
9702,2012-02-14,Spring,2012,February,4,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.2727,0.65,0.1045,0,2,2,0.0,100.0,Night Owl
9703,2012-02-14,Spring,2012,February,5,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.2727,0.65,0.1045,2,20,22,9.090909090909092,90.9090909090909,All-Day Rider
9704,2012-02-14,Spring,2012,February,6,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.303,0.56,0.0,1,89,90,1.1111111111111112,98.88888888888889,All-Day Rider
9705,2012-02-14,Spring,2012,February,7,No Holiday,Tuesday,Working Day,Cloudy,0.24,0.2576,0.6,0.0896,4,276,280,1.4285714285714286,98.57142857142858,Commuter
9706,2012-02-14,Spring,2012,February,8,No Holiday,Tuesday,Working Day,Cloudy,0.24,0.2879,0.7,0.0,3,510,513,0.5847953216374269,99.41520467836257,Commuter
9707,2012-02-14,Spring,2012,February,9,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.2879,0.56,0.0896,6,256,262,2.2900763358778624,97.70992366412213,Commuter
9708,2012-02-14,Spring,2012,February,10,No Holiday,Tuesday,Working Day,Cloudy,0.26,0.2727,0.6,0.1343,8,90,98,8.16326530612245,91.83673469387756,All-Day Rider
9709,2012-02-14,Spring,2012,February,11,No Holiday,Tuesday,Working Day,Cloudy,0.3,0.303,0.45,0.1642,5,107,112,4.464285714285714,95.53571428571429,All-Day Rider
9710,2012-02-14,Spring,2012,February,12,No Holiday,Tuesday,Working Day,Cloudy,0.3,0.2879,0.52,0.2239,10,162,172,5.813953488372093,94.18604651162791,All-Day Rider
9711,2012-02-14,Spring,2012,February,13,No Holiday,Tuesday,Working Day,Cloudy,0.36,0.3333,0.4,0.2537,6,167,173,3.4682080924855487,96.53179190751445,All-Day Rider
9712,2012-02-14,Spring,2012,February,14,No Holiday,Tuesday,Working Day,Few Clouds,0.4,0.4091,0.4,0.2239,13,111,124,10.483870967741936,89.51612903225806,All-Day Rider
9713,2012-02-14,Spring,2012,February,15,No Holiday,Tuesday,Working Day,Cloudy,0.42,0.4242,0.38,0.4478,7,138,145,4.827586206896552,95.17241379310344,All-Day Rider
9714,2012-02-14,Spring,2012,February,16,No Holiday,Tuesday,Working Day,Few Clouds,0.42,0.4242,0.35,0.2985,15,251,266,5.639097744360902,94.3609022556391,All-Day Rider
9715,2012-02-14,Spring,2012,February,17,No Holiday,Tuesday,Working Day,Few Clouds,0.42,0.4242,0.38,0.3582,19,504,523,3.632887189292543,96.36711281070745,Commuter
9716,2012-02-14,Spring,2012,February,18,No Holiday,Tuesday,Working Day,Cloudy,0.38,0.3939,0.46,0.2985,8,398,406,1.9704433497536946,98.0295566502463,Commuter
9717,2012-02-14,Spring,2012,February,19,No Holiday,Tuesday,Working Day,Cloudy,0.36,0.3485,0.5,0.1642,11,270,281,3.9145907473309607,96.08540925266904,Commuter
9718,2012-02-14,Spring,2012,February,20,No Holiday,Tuesday,Working Day,Cloudy,0.38,0.3939,0.46,0.1343,6,178,184,3.260869565217391,96.73913043478261,Evening Rider
9719,2012-02-14,Spring,2012,February,21,No Holiday,Tuesday,Working Day,Cloudy,0.36,0.3636,0.5,0.1045,4,105,109,3.669724770642202,96.3302752293578,Evening Rider
9720,2012-02-14,Spring,2012,February,22,No Holiday,Tuesday,Working Day,Cloudy,0.36,0.3636,0.5,0.1045,5,72,77,6.493506493506493,93.5064935064935,Evening Rider
9721,2012-02-14,Spring,2012,February,23,No Holiday,Tuesday,Working Day,Cloudy,0.36,0.3636,0.5,0.0896,2,55,57,3.508771929824561,96.49122807017544,Night Owl
9722,2012-02-15,Spring,2012,February,0,No Holiday,Wednesday,Working Day,Few Clouds,0.32,0.3485,0.57,0.0,0,22,22,0.0,100.0,Night Owl
9723,2012-02-15,Spring,2012,February,1,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.3636,0.53,0.0,0,5,5,0.0,100.0,Night Owl
9724,2012-02-15,Spring,2012,February,2,No Holiday,Wednesday,Working Day,Few Clouds,0.3,0.3333,0.61,0.0,0,4,4,0.0,100.0,Night Owl
9725,2012-02-15,Spring,2012,February,3,No Holiday,Wednesday,Working Day,Few Clouds,0.28,0.3182,0.75,0.0,0,3,3,0.0,100.0,Night Owl
9726,2012-02-15,Spring,2012,February,4,No Holiday,Wednesday,Working Day,Few Clouds,0.28,0.2879,0.7,0.1045,0,1,1,0.0,100.0,Night Owl
9727,2012-02-15,Spring,2012,February,5,No Holiday,Wednesday,Working Day,Few Clouds,0.28,0.2879,0.7,0.1045,0,25,25,0.0,100.0,All-Day Rider
9728,2012-02-15,Spring,2012,February,6,No Holiday,Wednesday,Working Day,Few Clouds,0.3,0.303,0.61,0.1343,3,92,95,3.1578947368421053,96.84210526315789,All-Day Rider
9729,2012-02-15,Spring,2012,February,7,No Holiday,Wednesday,Working Day,Cloudy,0.3,0.2879,0.65,0.194,3,318,321,0.9345794392523363,99.06542056074767,Commuter
9730,2012-02-15,Spring,2012,February,8,No Holiday,Wednesday,Working Day,Few Clouds,0.32,0.2879,0.61,0.3582,7,508,515,1.3592233009708738,98.64077669902913,Commuter
9731,2012-02-15,Spring,2012,February,9,No Holiday,Wednesday,Working Day,Few Clouds,0.32,0.303,0.61,0.3284,5,226,231,2.1645021645021645,97.83549783549783,Commuter
9732,2012-02-15,Spring,2012,February,10,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.303,0.57,0.2985,12,108,120,10.0,90.0,All-Day Rider
9733,2012-02-15,Spring,2012,February,11,No Holiday,Wednesday,Working Day,Few Clouds,0.36,0.3333,0.53,0.2836,13,125,138,9.420289855072465,90.57971014492753,All-Day Rider
9734,2012-02-15,Spring,2012,February,12,No Holiday,Wednesday,Working Day,Few Clouds,0.38,0.3939,0.46,0.3881,11,152,163,6.748466257668712,93.25153374233128,All-Day Rider
9735,2012-02-15,Spring,2012,February,13,No Holiday,Wednesday,Working Day,Few Clouds,0.4,0.4091,0.43,0.2836,11,159,170,6.470588235294119,93.52941176470588,All-Day Rider
9736,2012-02-15,Spring,2012,February,14,No Holiday,Wednesday,Working Day,Few Clouds,0.42,0.4242,0.41,0.3582,6,128,134,4.477611940298507,95.52238805970148,All-Day Rider
9737,2012-02-15,Spring,2012,February,15,No Holiday,Wednesday,Working Day,Few Clouds,0.42,0.4242,0.41,0.2239,7,164,171,4.093567251461988,95.90643274853801,All-Day Rider
9738,2012-02-15,Spring,2012,February,16,No Holiday,Wednesday,Working Day,Few Clouds,0.42,0.4242,0.38,0.194,9,222,231,3.896103896103896,96.1038961038961,All-Day Rider
9739,2012-02-15,Spring,2012,February,17,No Holiday,Wednesday,Working Day,Few Clouds,0.42,0.4242,0.38,0.194,17,470,487,3.4907597535934287,96.50924024640656,Commuter
9740,2012-02-15,Spring,2012,February,18,No Holiday,Wednesday,Working Day,Few Clouds,0.4,0.4091,0.4,0.2239,9,459,468,1.9230769230769231,98.07692307692307,Commuter
9741,2012-02-15,Spring,2012,February,19,No Holiday,Wednesday,Working Day,Few Clouds,0.38,0.3939,0.43,0.1642,9,302,311,2.8938906752411575,97.10610932475883,Commuter
9742,2012-02-15,Spring,2012,February,20,No Holiday,Wednesday,Working Day,Few Clouds,0.36,0.3485,0.46,0.1642,4,207,211,1.8957345971563981,98.10426540284361,Evening Rider
9743,2012-02-15,Spring,2012,February,21,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.3333,0.53,0.1642,8,170,178,4.49438202247191,95.50561797752809,Evening Rider
9744,2012-02-15,Spring,2012,February,22,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.3485,0.49,0.1045,3,104,107,2.803738317757009,97.19626168224299,Evening Rider
9745,2012-02-15,Spring,2012,February,23,No Holiday,Wednesday,Working Day,Few Clouds,0.34,0.3485,0.53,0.0896,4,54,58,6.896551724137931,93.10344827586206,Night Owl
9746,2012-02-16,Spring,2012,February,0,No Holiday,Thursday,Working Day,Cloudy,0.3,0.303,0.7,0.1343,1,22,23,4.3478260869565215,95.65217391304348,Night Owl
9747,2012-02-16,Spring,2012,February,1,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3333,0.7,0.0,0,5,5,0.0,100.0,Night Owl
9748,2012-02-16,Spring,2012,February,2,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3182,0.7,0.0896,1,6,7,14.285714285714285,85.71428571428571,Night Owl
9749,2012-02-16,Spring,2012,February,3,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3333,0.61,0.0,0,1,1,0.0,100.0,Night Owl
9750,2012-02-16,Spring,2012,February,4,No Holiday,Thursday,Working Day,Rain,0.3,0.3182,0.7,0.0896,0,3,3,0.0,100.0,Night Owl
9751,2012-02-16,Spring,2012,February,5,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3333,0.7,0.0,0,20,20,0.0,100.0,All-Day Rider
9752,2012-02-16,Spring,2012,February,6,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3182,0.7,0.0896,4,83,87,4.597701149425287,95.40229885057471,All-Day Rider
9753,2012-02-16,Spring,2012,February,7,No Holiday,Thursday,Working Day,Cloudy,0.3,0.303,0.7,0.1343,3,285,288,1.0416666666666665,98.95833333333334,Commuter
9754,2012-02-16,Spring,2012,February,8,No Holiday,Thursday,Working Day,Cloudy,0.3,0.3182,0.7,0.0896,9,489,498,1.8072289156626504,98.19277108433735,Commuter
9755,2012-02-16,Spring,2012,February,9,No Holiday,Thursday,Working Day,Cloudy,0.3,0.303,0.7,0.1642,3,199,202,1.4851485148514851,98.51485148514851,Commuter
9756,2012-02-16,Spring,2012,February,10,No Holiday,Thursday,Working Day,Rain,0.32,0.3333,0.7,0.1343,2,42,44,4.545454545454546,95.45454545454545,All-Day Rider
9757,2012-02-16,Spring,2012,February,11,No Holiday,Thursday,Working Day,Rain,0.32,0.3333,0.7,0.1045,2,69,71,2.8169014084507045,97.1830985915493,All-Day Rider
9758,2012-02-16,Spring,2012,February,12,No Holiday,Thursday,Working Day,Rain,0.32,0.3333,0.76,0.0896,1,44,45,2.2222222222222223,97.77777777777777,All-Day Rider
9759,2012-02-16,Spring,2012,February,13,No Holiday,Thursday,Working Day,Rain,0.34,0.3182,0.71,0.2537,2,62,64,3.125,96.875,All-Day Rider
9760,2012-02-16,Spring,2012,February,14,No Holiday,Thursday,Working Day,Rain,0.32,0.3182,0.81,0.194,1,30,31,3.225806451612903,96.7741935483871,All-Day Rider
9761,2012-02-16,Spring,2012,February,15,No Holiday,Thursday,Working Day,Rain,0.34,0.3636,0.76,0.0,3,50,53,5.660377358490567,94.33962264150944,All-Day Rider
9762,2012-02-16,Spring,2012,February,16,No Holiday,Thursday,Working Day,Rain,0.34,0.3636,0.81,0.0,8,110,118,6.779661016949152,93.22033898305084,All-Day Rider
9763,2012-02-16,Spring,2012,February,17,No Holiday,Thursday,Working Day,Rain,0.34,0.3636,0.87,0.0,8,281,289,2.768166089965398,97.23183391003461,Commuter
9764,2012-02-16,Spring,2012,February,18,No Holiday,Thursday,Working Day,Rain,0.34,0.3333,0.87,0.1343,8,345,353,2.26628895184136,97.73371104815864,Commuter
9765,2012-02-16,Spring,2012,February,19,No Holiday,Thursday,Working Day,Cloudy,0.32,0.3182,0.87,0.1642,4,254,258,1.550387596899225,98.44961240310077,Commuter
9766,2012-02-16,Spring,2012,February,20,No Holiday,Thursday,Working Day,Cloudy,0.32,0.3333,0.87,0.1343,5,211,216,2.314814814814815,97.68518518518519,Evening Rider
9767,2012-02-16,Spring,2012,February,21,No Holiday,Thursday,Working Day,Cloudy,0.34,0.3485,0.81,0.1045,3,142,145,2.0689655172413794,97.93103448275862,Evening Rider
9768,2012-02-16,Spring,2012,February,22,No Holiday,Thursday,Working Day,Cloudy,0.32,0.3485,0.81,0.0,3,108,111,2.7027027027027026,97.2972972972973,Evening Rider
9769,2012-02-16,Spring,2012,February,23,No Holiday,Thursday,Working Day,Few Clouds,0.32,0.3333,0.81,0.0896,3,70,73,4.10958904109589,95.8904109589041,Night Owl
9770,2012-02-17,Spring,2012,February,0,No Holiday,Friday,Working Day,Cloudy,0.3,0.3333,0.87,0.0,2,32,34,5.88235294117647,94.11764705882352,Night Owl
9771,2012-02-17,Spring,2012,February,1,No Holiday,Friday,Working Day,Cloudy,0.3,0.3333,0.93,0.0,2,16,18,11.11111111111111,88.88888888888889,Night Owl
9772,2012-02-17,Spring,2012,February,2,No Holiday,Friday,Working Day,Cloudy,0.3,0.3182,0.93,0.1045,1,11,12,8.333333333333332,91.66666666666666,Night Owl
9773,2012-02-17,Spring,2012,February,3,No Holiday,Friday,Working Day,Cloudy,0.28,0.2879,0.93,0.1045,0,1,1,0.0,100.0,Night Owl
9774,2012-02-17,Spring,2012,February,4,No Holiday,Friday,Working Day,Cloudy,0.28,0.2727,0.93,0.194,0,1,1,0.0,100.0,Night Owl
9775,2012-02-17,Spring,2012,February,5,No Holiday,Friday,Working Day,Cloudy,0.28,0.2727,0.93,0.1642,0,16,16,0.0,100.0,All-Day Rider
9776,2012-02-17,Spring,2012,February,6,No Holiday,Friday,Working Day,Cloudy,0.28,0.2879,0.96,0.1343,1,70,71,1.4084507042253522,98.59154929577466,All-Day Rider
9777,2012-02-17,Spring,2012,February,7,No Holiday,Friday,Working Day,Cloudy,0.28,0.2879,0.93,0.1045,4,222,226,1.7699115044247788,98.23008849557522,Commuter
9778,2012-02-17,Spring,2012,February,8,No Holiday,Friday,Working Day,Cloudy,0.26,0.303,1.0,0.0,4,516,520,0.7692307692307693,99.23076923076923,Commuter
9779,2012-02-17,Spring,2012,February,9,No Holiday,Friday,Working Day,Cloudy,0.26,0.303,1.0,0.0,8,275,283,2.8268551236749118,97.1731448763251,Commuter
9780,2012-02-17,Spring,2012,February,10,No Holiday,Friday,Working Day,Few Clouds,0.34,0.3182,0.71,0.2836,13,103,116,11.206896551724139,88.79310344827587,All-Day Rider
9781,2012-02-17,Spring,2012,February,11,No Holiday,Friday,Working Day,Few Clouds,0.36,0.3333,0.62,0.4179,9,133,142,6.338028169014084,93.66197183098592,All-Day Rider
9782,2012-02-17,Spring,2012,February,12,No Holiday,Friday,Working Day,Few Clouds,0.38,0.3939,0.46,0.3881,21,177,198,10.606060606060606,89.39393939393939,All-Day Rider
9783,2012-02-17,Spring,2012,February,13,No Holiday,Friday,Working Day,Few Clouds,0.4,0.4091,0.43,0.3582,34,171,205,16.585365853658537,83.41463414634146,All-Day Rider
9784,2012-02-17,Spring,2012,February,14,No Holiday,Friday,Working Day,Few Clouds,0.4,0.4091,0.37,0.3582,33,137,170,19.411764705882355,80.58823529411765,All-Day Rider
9785,2012-02-17,Spring,2012,February,15,No Holiday,Friday,Working Day,Few Clouds,0.42,0.4242,0.35,0.4179,41,180,221,18.552036199095024,81.44796380090497,All-Day Rider
9786,2012-02-17,Spring,2012,February,16,No Holiday,Friday,Working Day,Few Clouds,0.42,0.4242,0.32,0.2985,56,251,307,18.241042345276874,81.75895765472313,All-Day Rider
9787,2012-02-17,Spring,2012,February,17,No Holiday,Friday,Working Day,Few Clouds,0.42,0.4242,0.32,0.3284,36,429,465,7.741935483870968,92.25806451612904,Commuter
9788,2012-02-17,Spring,2012,February,18,No Holiday,Friday,Working Day,Few Clouds,0.4,0.4091,0.35,0.2537,15,362,377,3.978779840848806,96.02122015915118,Commuter
9789,2012-02-17,Spring,2012,February,19,No Holiday,Friday,Working Day,Few Clouds,0.38,0.3939,0.37,0.2239,16,266,282,5.673758865248227,94.32624113475178,Commuter
9790,2012-02-17,Spring,2012,February,20,No Holiday,Friday,Working Day,Few Clouds,0.4,0.4091,0.35,0.194,13,158,171,7.602339181286549,92.39766081871345,Evening Rider
9791,2012-02-17,Spring,2012,February,21,No Holiday,Friday,Working Day,Few Clouds,0.38,0.3939,0.37,0.194,15,114,129,11.627906976744185,88.37209302325581,Evening Rider
9792,2012-02-17,Spring,2012,February,22,No Holiday,Friday,Working Day,Few Clouds,0.36,0.3485,0.4,0.2239,15,92,107,14.018691588785046,85.98130841121495,Evening Rider
9793,2012-02-17,Spring,2012,February,23,No Holiday,Friday,Working Day,Few Clouds,0.36,0.3485,0.4,0.194,10,72,82,12.195121951219512,87.8048780487805,Night Owl
9794,2012-02-18,Spring,2012,February,0,No Holiday,Saturday,Non-Working Day,Few Clouds,0.34,0.3333,0.42,0.1642,5,81,86,5.813953488372093,94.18604651162791,Night Owl
9795,2012-02-18,Spring,2012,February,1,No Holiday,Saturday,Non-Working Day,Few Clouds,0.32,0.3182,0.49,0.1642,7,38,45,15.555555555555555,84.44444444444444,Night Owl
9796,2012-02-18,Spring,2012,February,2,No Holiday,Saturday,Non-Working Day,Few Clouds,0.3,0.2879,0.61,0.2537,6,39,45,13.333333333333334,86.66666666666667,Night Owl
9797,2012-02-18,Spring,2012,February,3,No Holiday,Saturday,Non-Working Day,Few Clouds,0.28,0.2879,0.65,0.1045,3,15,18,16.666666666666664,83.33333333333334,Night Owl
9798,2012-02-18,Spring,2012,February,4,No Holiday,Saturday,Non-Working Day,Few Clouds,0.26,0.303,0.7,0.0,3,4,7,42.857142857142854,57.14285714285714,Night Owl
9799,2012-02-18,Spring,2012,February,5,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2576,0.7,0.0896,0,1,1,0.0,100.0,All-Day Rider
9800,2012-02-18,Spring,2012,February,6,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.7,0.0,1,8,9,11.11111111111111,88.88888888888889,All-Day Rider
9801,2012-02-18,Spring,2012,February,7,No Holiday,Saturday,Non-Working Day,Few Clouds,0.24,0.2879,0.7,0.0,8,33,41,19.51219512195122,80.48780487804879,Commuter
9802,2012-02-18,Spring,2012,February,8,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2727,0.87,0.0,10,92,102,9.803921568627452,90.19607843137256,Commuter
9803,2012-02-18,Spring,2012,February,9,No Holiday,Saturday,Non-Working Day,Few Clouds,0.22,0.2424,0.8,0.1045,22,116,138,15.942028985507244,84.05797101449275,Commuter
9804,2012-02-18,Spring,2012,February,10,No Holiday,Saturday,Non-Working Day,Few Clouds,0.26,0.2727,0.81,0.1045,48,157,205,23.414634146341466,76.58536585365854,All-Day Rider
9805,2012-02-18,Spring,2012,February,11,No Holiday,Saturday,Non-Working Day,Few Clouds,0.32,0.3333,0.57,0.1343,102,184,286,35.66433566433567,64.33566433566433,All-Day Rider
9806,2012-02-18,Spring,2012,February,12,No Holiday,Saturday,Non-Working Day,Few Clouds,0.36,0.3485,0.43,0.194,128,241,369,34.68834688346883,65.31165311653116,All-Day Rider
9807,2012-02-18,Spring,2012,February,13,No Holiday,Saturday,Non-Working Day,Few Clouds,0.4,0.4091,0.43,0.2836,165,219,384,42.96875,57.03125,All-Day Rider
9808,2012-02-18,Spring,2012,February,14,No Holiday,Saturday,Non-Working Day,Few Clouds,0.44,0.4394,0.35,0.3582,183,244,427,42.857142857142854,57.14285714285714,All-Day Rider
9809,2012-02-18,Spring,2012,February,15,No Holiday,Saturday,Non-Working Day,Few Clouds,0.42,0.4242,0.41,0.2537,229,270,499,45.89178356713427,54.10821643286573,All-Day Rider
9810,2012-02-18,Spring,2012,February,16,No Holiday,Saturday,Non-Working Day,Few Clouds,0.44,0.4394,0.44,0.3284,186,218,404,46.03960396039604,53.960396039603964,All-Day Rider
9811,2012-02-18,Spring,2012,February,17,No Holiday,Saturday,Non-Working Day,Few Clouds,0.48,0.4697,0.36,0.2836,142,222,364,39.010989010989015,60.98901098901099,Commuter
9812,2012-02-18,Spring,2012,February,18,No Holiday,Saturday,Non-Working Day,Few Clouds,0.46,0.4545,0.38,0.2985,70,176,246,28.455284552845526,71.54471544715447,Commuter
9813,2012-02-18,Spring,2012,February,19,No Holiday,Saturday,Non-Working Day,Few Clouds,0.44,0.4394,0.44,0.1642,38,150,188,20.212765957446805,79.7872340425532,Commuter
9814,2012-02-18,Spring,2012,February,20,No Holiday,Saturday,Non-Working Day,Few Clouds,0.44,0.4394,0.44,0.1642,25,123,148,16.89189189189189,83.1081081081081,Evening Rider
9815,2012-02-18,Spring,2012,February,21,No Holiday,Saturday,Non-Working Day,Few Clouds,0.44,0.4394,0.33,0.2985,25,89,114,21.929824561403507,78.0701754385965,Evening Rider
9816,2012-02-18,Spring,2012,February,22,No Holiday,Saturday,Non-Working Day,Few Clouds,0.4,0.4091,0.4,0.4478,17,101,118,14.40677966101695,85.59322033898306,Evening Rider
9817,2012-02-18,Spring,2012,February,23,No Holiday,Saturday,Non-Working Day,Cloudy,0.36,0.3333,0.4,0.3881,12,62,74,16.216216216216218,83.78378378378379,Night Owl
9818,2012-02-19,Spring,2012,February,0,No Holiday,Sunday,Non-Working Day,Cloudy,0.34,0.303,0.39,0.3582,9,65,74,12.162162162162163,87.83783783783784,Night Owl
9819,2012-02-19,Spring,2012,February,1,No Holiday,Sunday,Non-Working Day,Cloudy,0.32,0.303,0.39,0.2537,10,62,72,13.88888888888889,86.11111111111111,Night Owl
9820,2012-02-19,Spring,2012,February,2,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.36,0.2836,3,45,48,6.25,93.75,Night Owl
9821,2012-02-19,Spring,2012,February,3,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.36,0.2239,3,12,15,20.0,80.0,Night Owl
9822,2012-02-19,Spring,2012,February,4,No Holiday,Sunday,Non-Working Day,Cloudy,0.28,0.2576,0.41,0.3881,0,3,3,0.0,100.0,Night Owl
9823,2012-02-19,Spring,2012,February,5,No Holiday,Sunday,Non-Working Day,Cloudy,0.26,0.2273,0.48,0.2985,1,1,2,50.0,50.0,All-Day Rider
9824,2012-02-19,Spring,2012,February,6,No Holiday,Sunday,Non-Working Day,Few Clouds,0.24,0.2121,0.52,0.3284,0,5,5,0.0,100.0,All-Day Rider
9825,2012-02-19,Spring,2012,February,7,No Holiday,Sunday,Non-Working Day,Cloudy,0.24,0.2121,0.52,0.2836,2,12,14,14.285714285714285,85.71428571428571,Commuter
9826,2012-02-19,Spring,2012,February,8,No Holiday,Sunday,Non-Working Day,Cloudy,0.24,0.2273,0.56,0.194,8,48,56,14.285714285714285,85.71428571428571,Commuter
9827,2012-02-19,Spring,2012,February,9,No Holiday,Sunday,Non-Working Day,Cloudy,0.24,0.2273,0.56,0.2537,20,73,93,21.50537634408602,78.49462365591397,Commuter
9828,2012-02-19,Spring,2012,February,10,No Holiday,Sunday,Non-Working Day,Cloudy,0.26,0.2424,0.52,0.2537,49,142,191,25.654450261780106,74.3455497382199,All-Day Rider
9829,2012-02-19,Spring,2012,February,11,No Holiday,Sunday,Non-Working Day,Cloudy,0.26,0.2273,0.56,0.3284,82,144,226,36.283185840707965,63.716814159292035,All-Day Rider
9830,2012-02-19,Spring,2012,February,12,No Holiday,Sunday,Non-Working Day,Cloudy,0.28,0.2727,0.52,0.2537,71,184,255,27.84313725490196,72.15686274509804,All-Day Rider
9831,2012-02-19,Spring,2012,February,13,No Holiday,Sunday,Non-Working Day,Few Clouds,0.3,0.303,0.49,0.1642,64,197,261,24.521072796934863,75.47892720306514,All-Day Rider
9832,2012-02-19,Spring,2012,February,14,No Holiday,Sunday,Non-Working Day,Cloudy,0.32,0.3182,0.45,0.194,48,189,237,20.253164556962027,79.74683544303798,All-Day Rider
9833,2012-02-19,Spring,2012,February,15,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.49,0.194,85,168,253,33.59683794466403,66.40316205533597,All-Day Rider
9834,2012-02-19,Spring,2012,February,16,No Holiday,Sunday,Non-Working Day,Cloudy,0.32,0.303,0.45,0.2836,62,150,212,29.245283018867923,70.75471698113208,All-Day Rider
9835,2012-02-19,Spring,2012,February,17,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.49,0.2537,22,135,157,14.012738853503185,85.98726114649682,Commuter
9836,2012-02-19,Spring,2012,February,18,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2727,0.49,0.3284,23,144,167,13.77245508982036,86.22754491017965,Commuter
9837,2012-02-19,Spring,2012,February,19,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.52,0.2537,18,101,119,15.126050420168067,84.87394957983193,Commuter
9838,2012-02-19,Spring,2012,February,20,No Holiday,Sunday,Non-Working Day,Cloudy,0.3,0.2879,0.52,0.2836,22,81,103,21.35922330097087,78.64077669902912,Evening Rider
9839,2012-02-19,Spring,2012,February,21,No Holiday,Sunday,Non-Working Day,Rain,0.26,0.2576,0.65,0.1642,3,33,36,8.333333333333332,91.66666666666666,Evening Rider
9840,2012-02-19,Spring,2012,February,22,No Holiday,Sunday,Non-Working Day,Rain,0.24,0.2576,0.75,0.0896,8,47,55,14.545454545454545,85.45454545454545,Evening Rider
9841,2012-02-19,Spring,2012,February,23,No Holiday,Sunday,Non-Working Day,Cloudy,0.22,0.2273,0.93,0.1642,5,30,35,14.285714285714285,85.71428571428571,Night Owl
9842,2012-02-20,Spring,2012,February,0,Holiday,Monday,Non-Working Day,Cloudy,0.24,0.2576,0.87,0.0896,5,36,41,12.195121951219512,87.8048780487805,Night Owl
9843,2012-02-20,Spring,2012,February,1,Holiday,Monday,Non-Working Day,Cloudy,0.24,0.2576,0.87,0.0896,3,12,15,20.0,80.0,Night Owl
